akc_id	type	TRA_chain	TRB_chain
iedb_receptor:21631	AlphaBetaTCR		iedb_receptor:21631-beta
iedb_receptor:21632	AlphaBetaTCR		iedb_receptor:21632-beta
iedb_receptor:21633	AlphaBetaTCR		iedb_receptor:21633-beta
iedb_receptor:21634	AlphaBetaTCR		iedb_receptor:21634-beta
iedb_receptor:21635	AlphaBetaTCR		iedb_receptor:21635-beta
iedb_receptor:21636	AlphaBetaTCR		iedb_receptor:21636-beta
iedb_receptor:21637	AlphaBetaTCR		iedb_receptor:21637-beta
iedb_receptor:21638	AlphaBetaTCR		iedb_receptor:21638-beta
iedb_receptor:21639	AlphaBetaTCR		iedb_receptor:21639-beta
iedb_receptor:21640	AlphaBetaTCR		iedb_receptor:21640-beta
iedb_receptor:21641	AlphaBetaTCR		iedb_receptor:21641-beta
iedb_receptor:21642	AlphaBetaTCR		iedb_receptor:21642-beta
iedb_receptor:21643	AlphaBetaTCR		iedb_receptor:21643-beta
iedb_receptor:21644	AlphaBetaTCR		iedb_receptor:21644-beta
iedb_receptor:21645	AlphaBetaTCR		iedb_receptor:21645-beta
iedb_receptor:21646	AlphaBetaTCR		iedb_receptor:21646-beta
iedb_receptor:21647	AlphaBetaTCR		iedb_receptor:21647-beta
iedb_receptor:21648	AlphaBetaTCR		iedb_receptor:21648-beta
iedb_receptor:21649	AlphaBetaTCR		iedb_receptor:21649-beta
iedb_receptor:21650	AlphaBetaTCR		iedb_receptor:21650-beta
iedb_receptor:21651	AlphaBetaTCR		iedb_receptor:21651-beta
iedb_receptor:21652	AlphaBetaTCR		iedb_receptor:21652-beta
iedb_receptor:21653	AlphaBetaTCR		iedb_receptor:21653-beta
iedb_receptor:21654	AlphaBetaTCR		iedb_receptor:21654-beta
iedb_receptor:21655	AlphaBetaTCR		iedb_receptor:21655-beta
iedb_receptor:21656	AlphaBetaTCR		iedb_receptor:21656-beta
iedb_receptor:21657	AlphaBetaTCR		iedb_receptor:21657-beta
iedb_receptor:21658	AlphaBetaTCR		iedb_receptor:21658-beta
iedb_receptor:21659	AlphaBetaTCR		iedb_receptor:21659-beta
iedb_receptor:21660	AlphaBetaTCR		iedb_receptor:21660-beta
iedb_receptor:21661	AlphaBetaTCR		iedb_receptor:21661-beta
iedb_receptor:21662	AlphaBetaTCR		iedb_receptor:21662-beta
iedb_receptor:21663	AlphaBetaTCR		iedb_receptor:21663-beta
iedb_receptor:21664	AlphaBetaTCR		iedb_receptor:21664-beta
iedb_receptor:21665	AlphaBetaTCR		iedb_receptor:21665-beta
iedb_receptor:21666	AlphaBetaTCR		iedb_receptor:21666-beta
iedb_receptor:21667	AlphaBetaTCR		iedb_receptor:21667-beta
iedb_receptor:21668	AlphaBetaTCR		iedb_receptor:21668-beta
iedb_receptor:21669	AlphaBetaTCR		iedb_receptor:21669-beta
iedb_receptor:21670	AlphaBetaTCR		iedb_receptor:21670-beta
iedb_receptor:21671	AlphaBetaTCR		iedb_receptor:21671-beta
iedb_receptor:21672	AlphaBetaTCR		iedb_receptor:21672-beta
iedb_receptor:21673	AlphaBetaTCR		iedb_receptor:21673-beta
iedb_receptor:21674	AlphaBetaTCR		iedb_receptor:21674-beta
iedb_receptor:21675	AlphaBetaTCR		iedb_receptor:21675-beta
iedb_receptor:21676	AlphaBetaTCR		iedb_receptor:21676-beta
iedb_receptor:21677	AlphaBetaTCR		iedb_receptor:21677-beta
iedb_receptor:21678	AlphaBetaTCR		iedb_receptor:21678-beta
iedb_receptor:21679	AlphaBetaTCR		iedb_receptor:21679-beta
iedb_receptor:21680	AlphaBetaTCR		iedb_receptor:21680-beta
iedb_receptor:21681	AlphaBetaTCR		iedb_receptor:21681-beta
iedb_receptor:21682	AlphaBetaTCR		iedb_receptor:21682-beta
iedb_receptor:21683	AlphaBetaTCR		iedb_receptor:21683-beta
iedb_receptor:21684	AlphaBetaTCR		iedb_receptor:21684-beta
iedb_receptor:21685	AlphaBetaTCR		iedb_receptor:21685-beta
iedb_receptor:21686	AlphaBetaTCR		iedb_receptor:21686-beta
iedb_receptor:21687	AlphaBetaTCR		iedb_receptor:21687-beta
iedb_receptor:21688	AlphaBetaTCR		iedb_receptor:21688-beta
iedb_receptor:21689	AlphaBetaTCR		iedb_receptor:21689-beta
iedb_receptor:21690	AlphaBetaTCR		iedb_receptor:21690-beta
iedb_receptor:21691	AlphaBetaTCR		iedb_receptor:21691-beta
iedb_receptor:21692	AlphaBetaTCR		iedb_receptor:21692-beta
iedb_receptor:21693	AlphaBetaTCR		iedb_receptor:21693-beta
iedb_receptor:21694	AlphaBetaTCR		iedb_receptor:21694-beta
iedb_receptor:21695	AlphaBetaTCR		iedb_receptor:21695-beta
iedb_receptor:21696	AlphaBetaTCR		iedb_receptor:21696-beta
iedb_receptor:21697	AlphaBetaTCR		iedb_receptor:21697-beta
iedb_receptor:21698	AlphaBetaTCR		iedb_receptor:21698-beta
iedb_receptor:21699	AlphaBetaTCR		iedb_receptor:21699-beta
iedb_receptor:21700	AlphaBetaTCR		iedb_receptor:21700-beta
iedb_receptor:21701	AlphaBetaTCR		iedb_receptor:21701-beta
iedb_receptor:21702	AlphaBetaTCR		iedb_receptor:21702-beta
iedb_receptor:21703	AlphaBetaTCR		iedb_receptor:21703-beta
iedb_receptor:21704	AlphaBetaTCR		iedb_receptor:21704-beta
iedb_receptor:21705	AlphaBetaTCR		iedb_receptor:21705-beta
iedb_receptor:21706	AlphaBetaTCR		iedb_receptor:21706-beta
iedb_receptor:21707	AlphaBetaTCR		iedb_receptor:21707-beta
iedb_receptor:21708	AlphaBetaTCR		iedb_receptor:21708-beta
iedb_receptor:21709	AlphaBetaTCR		iedb_receptor:21709-beta
iedb_receptor:21710	AlphaBetaTCR		iedb_receptor:21710-beta
iedb_receptor:21711	AlphaBetaTCR		iedb_receptor:21711-beta
iedb_receptor:21712	AlphaBetaTCR		iedb_receptor:21712-beta
iedb_receptor:21713	AlphaBetaTCR		iedb_receptor:21713-beta
iedb_receptor:21714	AlphaBetaTCR		iedb_receptor:21714-beta
iedb_receptor:21715	AlphaBetaTCR		iedb_receptor:21715-beta
iedb_receptor:21716	AlphaBetaTCR		iedb_receptor:21716-beta
