immunespace_id	id_type	akc_id
BS1251909	specimen	e367ce96-4215-49a6-86f1-3af0fa6dee25
BS1251910	specimen	83f2a150-df26-4dd0-b724-c72ec1b76763
BS1251911	specimen	f934fecd-5a08-4544-b1ca-244ea691e1a5
BS1251912	specimen	ec965c31-d38e-40a7-86f8-697a3ce0365e
BS1251913	specimen	f4f9b2e7-c493-4d1c-ab7e-17faa18cf569
BS1251914	specimen	e465f5c7-05d7-4c2d-bdd3-e02490118483
BS1251915	specimen	aeb75408-82cb-4630-9b03-44bb2115f755
BS1251916	specimen	c5f5fb84-262a-4746-a2e5-41b54b6b4d90
BS1251917	specimen	35f7a17e-595e-4c85-996e-80608cdee1b4
BS1251918	specimen	e3a7b9e5-f283-4965-96b2-48036ea64551
BS1251919	specimen	8e4060d8-6fe4-4367-8a74-91383ec3a258
BS1251920	specimen	a1641db5-095d-47f5-834a-cc06d221e14c
BS1251921	specimen	998aa46c-ce1b-4c94-9a9a-9fd417f93920
BS1251922	specimen	1526c14d-8cfa-4bdf-a065-53f15f2db4cf
BS1251923	specimen	4190dae5-47a4-4a25-b813-b3f5eaf301ef
BS1251924	specimen	4dbd6e20-c14e-4ae3-a6ec-29f740a8db86
BS1251925	specimen	b89a227f-ec22-4414-864c-ebcb2ee61930
BS1251926	specimen	5deef4be-db6e-45c5-bb69-2338d25bb417
BS1251927	specimen	2322318a-528c-4fa9-a682-bd0003abcde5
BS1251928	specimen	eb0fe23d-642e-4baf-bb79-0d280737913f
BS1251929	specimen	f48e7153-5cdb-4a09-9403-cc658d1fcd1d
BS1251930	specimen	8de2db09-b650-4554-a16a-958c2e87adf9
BS1251931	specimen	37567a0e-4655-4296-b96a-644e2970b93e
BS1251932	specimen	df7b8778-0578-4823-ad45-2a74bc380d3d
BS1251933	specimen	494e4f61-6bd6-41c2-8579-3bd9d3d6e8bb
BS1251934	specimen	b8fe3b49-9b87-46a2-bd2f-459b183dbc22
BS1251935	specimen	83d1c048-287d-4a6d-824f-64098a2060c1
BS1251936	specimen	652de4f1-7d5f-4e12-aaa4-e25b3a372a41
BS1251937	specimen	87001a62-b590-4be4-9c1d-3380faf3f61e
BS1251938	specimen	cfcad25b-3d00-4d15-858b-18e8b25d2dbf
BS1251939	specimen	7ffc565f-0374-4680-b457-3d3c66c3571c
BS1251940	specimen	edba0920-62b6-402c-bb3b-c63beabd36b8
BS1251941	specimen	874b10da-94d4-417f-9ffc-1382ca2a4b5b
BS1251942	specimen	497e39d9-7a31-4d56-b41a-7e38b69a75cd
BS1251943	specimen	d0eb5afc-1051-422a-ad0f-4123d9da3de1
BS1251944	specimen	32ce97fa-6b3c-4779-81ba-2c9e039f30ce
BS1251945	specimen	d4a21bee-398a-4060-9d48-75b756b0a2c1
BS1251946	specimen	ae12c19f-fdcf-4a33-a7d6-5288e953e353
BS1251947	specimen	d5af0663-db47-4c32-bea3-7420b38e67ce
BS1251948	specimen	0509b397-2f84-4849-9954-46def6cb50f3
BS1251949	specimen	5108c767-4b13-469c-ad30-6d12ded62bf5
BS1251950	specimen	b328ab36-3546-4c4b-9be2-b31916b03d99
BS1251951	specimen	cf4ada46-c431-431b-a67a-4f604d942734
BS1251952	specimen	009af72c-4210-421f-a9a4-1505e01028d2
BS1251953	specimen	86b8e217-9689-4106-a314-3407d06ffce8
BS1251954	specimen	da0c56b7-7b9c-4f8a-be22-a9994f70693e
BS1251955	specimen	e48994e0-c951-4607-a5a7-060f7d3f45f7
BS1251956	specimen	09ddd3e7-05f2-4f74-bd8f-2c40d703573b
BS1251957	specimen	24e3553b-a315-43c6-bbff-c4108cd285ed
